web-scraper-order,web-scraper-start-url,shipcard-img-src
"1600213483-308","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/2/23/U-73ShipyardIcon.png/144px-U-73ShipyardIcon.png"
"1600213483-25","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/d/d4/HelenaShipyardIcon.png/144px-HelenaShipyardIcon.png"
"1600213483-466","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/c/c1/HatsushimoKaiShipyardIcon.png/144px-HatsushimoKaiShipyardIcon.png"
"1600213483-330","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/1/18/StanlyShipyardIcon.png/144px-StanlyShipyardIcon.png"
"1600213483-180","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/6/67/HiryuuShipyardIcon.png/144px-HiryuuShipyardIcon.png"
"1600213483-359","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/c/c0/BremertonShipyardIcon.png/144px-BremertonShipyardIcon.png"
"1600213483-23","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/5/52/BrooklynShipyardIcon.png/144px-BrooklynShipyardIcon.png"
"1600213483-224","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/c/cf/KiyonamiShipyardIcon.png/144px-KiyonamiShipyardIcon.png"
"1600213483-16","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/1/10/BensonShipyardIcon.png/144px-BensonShipyardIcon.png"
"1600213483-481","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/9/91/HiryuuKaiShipyardIcon.png/144px-HiryuuKaiShipyardIcon.png"
"1600213483-3","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/e/e9/DeweyShipyardIcon.png/144px-DeweyShipyardIcon.png"
"1600213483-166","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/6/68/YamashiroShipyardIcon.png/144px-YamashiroShipyardIcon.png"
"1600213483-490","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/6/68/KamikazeKaiShipyardIcon.png/144px-KamikazeKaiShipyardIcon.png"
"1600213483-97","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/b/b8/KentShipyardIcon.png/144px-KentShipyardIcon.png"
"1600213483-200","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/5/5c/Graf_ZeppelinShipyardIcon.png/144px-Graf_ZeppelinShipyardIcon.png"
"1600213483-434","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/b/b1/San_DiegoKaiShipyardIcon.png/144px-San_DiegoKaiShipyardIcon.png"
"1600213483-91","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/5/57/BelfastShipyardIcon.png/144px-BelfastShipyardIcon.png"
"1600213483-76","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/3/3d/GrenvilleShipyardIcon.png/144px-GrenvilleShipyardIcon.png"
"1600213483-476","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/c/c0/YamashiroKaiShipyardIcon.png/144px-YamashiroKaiShipyardIcon.png"
